listing_name,condition,link,price,date,location
Szlifierka trzepinowa Pencil Grinder CP9104Q,Nowe,https://www.olx.pl//d/oferta/szlifierka-trzepinowa-pencil-grinder-cp9104q-CID99-IDRE586.html,200 PLN,04 marca 2023,"Łódź, Widzew"
Nowy Apple Pencil 1 gen. Problem z baterią!!,Uszkodzone,https://www.olx.pl//d/oferta/nowy-apple-pencil-1-gen-problem-z-bateria-CID99-IDT8tBK.html,249 PLN,13 lutego 2023,"Warszawa, Wola"
Leopard drawing with colored pencils,Nowe,https://www.olx.pl//d/oferta/leopard-drawing-with-colored-pencils-CID628-IDO1YPS.html,249 PLN,17 lutego 2023,"Poznań, Junikowo"
Rynienka volvo 740 940 pencil holder półka,Nowe,https://www.olx.pl//d/oferta/rynienka-volvo-740-940-pencil-holder-polka-CID5-IDTsIZf.html,250 PLN,Biała,Bielsko
"Gołebie pocztowe , gołąb barwa pencil",Unclarified,https://www.olx.pl//d/oferta/golebie-pocztowe-golab-barwa-pencil-CID103-IDSGwCl.html,290 PLN,Aniołów,"Częstochowa, Wyczerpy"
"Prismacolor Premier 48 Pencils,Profesjonalne kredki dla artystów 48szt",Unclarified,https://www.olx.pl//d/oferta/prismacolor-premier-48-pencils-profesjonalne-kredki-dla-artystow-48szt-CID767-IDCLR4j.html,290 PLN,15 lutego 2023,"Katowice, Giszowiec"
"rysik Apple Pencil 2 do Ipada, tabletów, urządzeń mobilnych",Nowe,https://www.olx.pl//d/oferta/rysik-apple-pencil-2-do-ipada-tabletow-urzadzen-mobilnych-CID99-IDTrv4h.html,300 PLN,03 marca 2023,"Katowice, Bogucice"
Equipe pencil bullnose altea white 21 sztuk,Nowe,https://www.olx.pl//d/oferta/equipe-pencil-bullnose-altea-white-21-sztuk-CID628-IDSk8QX.html,310 PLN,16 lutego 2023,Dębica
Idealny Apple Pencil 1 gen w PERFEKCYJNYM stanie!,Używane,https://www.olx.pl//d/oferta/idealny-apple-pencil-1-gen-w-perfekcyjnym-stanie-CID99-IDThr0V.html,379 PLN,07 marca 2023,"Gdańsk, Jasień"
Idealny Apple Pencil 1 gen w PERFEKCYJNYM stanie!,Używane,https://www.olx.pl//d/oferta/idealny-apple-pencil-1-gen-w-perfekcyjnym-stanie-CID99-IDTqykO.html,380 PLN,02 marca 2023,"Gdańsk, Jasień"
"Apple Pencil 1 generacji jak nowy pudełko , 2-ga końcówka (mam 10 szt)",Używane,https://www.olx.pl//d/oferta/apple-pencil-1-generacji-jak-nowy-pudelko-2-ga-koncowka-mam-10-szt-CID99-IDTmh4P.html,399 PLN,26 lutego 2023,Otomin
Apple Pencil 1 gen. Model 1603,Używane,https://www.olx.pl//d/oferta/apple-pencil-1-gen-model-1603-CID99-IDTwAsW.html,400 PLN,Dzisiaj o 08:40,"Jelenia Góra, Zabobrze"
Ładowarka Watch Apple gratis!! Pencil Case Apple,Nowe,https://www.olx.pl//d/oferta/ladowarka-watch-apple-gratis-pencil-case-apple-CID99-IDT70Dx.html,400 PLN,12 lutego 2023,Pomiechówek
Apple Pencil gen 1,Używane,https://www.olx.pl//d/oferta/apple-pencil-gen-1-CID99-IDSZdze.html,420 PLN,05 marca 2023,Sieradz
apple pencil 1st generation,Używane,https://www.olx.pl//d/oferta/apple-pencil-1st-generation-CID99-IDTtiW9.html,429 PLN,05 marca 2023,"Gdańsk, Wrzeszcz"
Apple Pencil/ rysik do iPada,Używane,https://www.olx.pl//d/oferta/apple-pencil-rysik-do-ipada-CID99-IDTuuKS.html,430 PLN,07 marca 2023,"Poznań, Starołęka"
Apple Pencil 1. generacji,Używane,https://www.olx.pl//d/oferta/apple-pencil-1-generacji-CID99-IDTscWe.html,450 PLN,04 marca 2023,"Białystok, Bojary"
Apple Pencil 1 generacji,Używane,https://www.olx.pl//d/oferta/apple-pencil-1-generacji-CID99-IDToHFz.html,450 PLN,01 marca 2023,"Wrocław, Stare Miasto"
Pencil 2 kupiony do iPad mini 6,Używane,https://www.olx.pl//d/oferta/pencil-2-kupiony-do-ipad-mini-6-CID99-IDTrkaG.html,450 PLN,03 marca 2023,Gorzów Wielkopolski
